审核行号 / Review Row ID,原总账行号 / Catalog Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,当前路径 / Current Path,静态引用证据 / Static Reference Evidence,动态加载证据 / Dynamic Loading Evidence,替代资源 / Exact Replacement,替代包候选 / Replacement Package Candidate,替代证据 / Replacement Evidence,来源可信度 / Provenance Confidence,建议处理 / Recommended Disposition,责任人 / Owner,需要审批 / Approval Required,原始备注 / Original Notes
1,964,待命名（Board Card Back）,Board Card Back,卡牌界面,Card UI,assets/runtime/ui/cards/backs/board_card_back.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,,assets/runtime/ui/components/card_icons/**,模块级候选，非逐文件映射 / Package-level candidate only: assets/runtime/ui/components/card_icons/**,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
2,965,待命名（Board Card Front）,Board Card Front,卡牌界面,Card UI,assets/runtime/ui/cards/backs/board_card_front.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,,assets/runtime/ui/components/card_icons/**,模块级候选，非逐文件映射 / Package-level candidate only: assets/runtime/ui/components/card_icons/**,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
3,966,待命名（Crystal Card Front）,Crystal Card Front,卡牌界面,Card UI,assets/runtime/ui/cards/backs/crystal_card_front.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,,assets/runtime/ui/components/card_icons/**,模块级候选，非逐文件映射 / Package-level candidate only: assets/runtime/ui/components/card_icons/**,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
4,967,徽记新,Badge New,卡牌界面,Card UI,assets/runtime/ui/cards/frames/badge_new.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,,assets/runtime/ui/components/card_icons/**,模块级候选，非逐文件映射 / Package-level candidate only: assets/runtime/ui/components/card_icons/**,HIGH / 高,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,仅在旧函数或不可达分支中出现；确认去留。 / Mentioned only by a legacy function or unreachable branch; confirm disposition. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
5,1040,每日按钮领取v01,Daily Button Claim v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_button_claim_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
6,1041,每日按钮已领取v01,Daily Button Claimed v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_button_claimed_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
7,1042,每日按钮禁用v01,Daily Button Disabled v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_button_disabled_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
8,1043,每日关闭按钮v01,Daily Close Button v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_close_button_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
9,1044,每日图标槽位选中v01,Daily Icon Slot Selected v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_icon_slot_selected_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
10,1045,每日图标槽位v01,Daily Icon Slot v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_icon_slot_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
11,1046,每日进度填充v01,Daily Progress Fill v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_progress_fill_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
12,1047,每日进度轨道v01,Daily Progress Track v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_progress_track_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
13,1048,每日签到卡牌默认v01,Daily Signin Card Default v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_signin_card_default_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
14,1049,每日签到卡牌premiumv01,Daily Signin Card Premium v01,日常任务与签到,Daily Program UI,assets/runtime/ui/daily_program_composition_v01/backplates/daily_signin_card_premium_v01.png,当前静态扫描未发现引用 / No current static reference found,旧函数或不可达分支线索；须人工确认动态加载 / Legacy or unreachable-branch evidence; confirm dynamic loading manually,assets/runtime/ui/interfaces/daily_program,assets/runtime/ui/interfaces/daily_program/**,明确替代 / Exact replacement: assets/runtime/ui/interfaces/daily_program,LOW / 低,已替代，归档候选 / Superseded Archive Candidate,资源工程复核 / Resource Engineering Review,是 / Yes,未发现当前运行引用；确认动态使用后再清理。 / No current runtime reference found; confirm dynamic use before cleanup. 来源链需人工复核。 / Provenance chain requires manual review.
