序号 / ID,层级 / Depth,当前目录 / Current Directory,父目录 / Parent Directory,目录类别 / Directory Category,状态 / Status,直属文件数 / Direct Files,目录内总账资源数 / Catalog Assets Under Directory,当前在用资源数 / Active Assets,对应运行或生产目录 / Runtime or Production Counterpart,原始来源目录 / Original Source Directories,可否直接修改 / Direct Editing,图集规则 / Atlas Rule
1,1,art/ai_generated/,art/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,161,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
2,2,art/ai_generated/flyne/,art/ai_generated/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,12,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
3,3,art/ai_generated/flyne/2026-07-29/,art/ai_generated/flyne/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
4,4,art/ai_generated/flyne/2026-07-29/133603_crystal-perspective-restyle/,art/ai_generated/flyne/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,3,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
5,5,art/ai_generated/flyne/2026-07-29/133603_crystal-perspective-restyle/references/,art/ai_generated/flyne/2026-07-29/133603_crystal-perspective-restyle/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
6,3,art/ai_generated/flyne/2026-08-12/,art/ai_generated/flyne/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,9,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
7,4,art/ai_generated/flyne/2026-08-12/130100_imprint-choice-modal/,art/ai_generated/flyne/2026-08-12/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,3,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
8,5,art/ai_generated/flyne/2026-08-12/130100_imprint-choice-modal/references/,art/ai_generated/flyne/2026-08-12/130100_imprint-choice-modal/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
9,4,art/ai_generated/flyne/2026-08-12/130200_minimal-battle-hub/,art/ai_generated/flyne/2026-08-12/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,3,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
10,5,art/ai_generated/flyne/2026-08-12/130200_minimal-battle-hub/references/,art/ai_generated/flyne/2026-08-12/130200_minimal-battle-hub/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
11,4,art/ai_generated/flyne/2026-08-12/130300_combat-hud-and-imprint/,art/ai_generated/flyne/2026-08-12/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,3,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
12,5,art/ai_generated/flyne/2026-08-12/130300_combat-hud-and-imprint/references/,art/ai_generated/flyne/2026-08-12/130300_combat-hud-and-imprint/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
13,2,art/ai_generated/imagegen/,art/ai_generated/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,45,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
14,3,art/ai_generated/imagegen/2026-07-29/,art/ai_generated/imagegen/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,28,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
15,4,art/ai_generated/imagegen/2026-07-29/150000_crystal-tower-perspective/,art/ai_generated/imagegen/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,13,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
16,5,art/ai_generated/imagegen/2026-07-29/150000_crystal-tower-perspective/cutouts/,art/ai_generated/imagegen/2026-07-29/150000_crystal-tower-perspective/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,11,10,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
17,4,art/ai_generated/imagegen/2026-07-29/battle-ui-hd-redraw-v01/,art/ai_generated/imagegen/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
18,4,art/ai_generated/imagegen/2026-07-29/chapter01-modal-ui-v01/,art/ai_generated/imagegen/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,12,11,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
19,4,art/ai_generated/imagegen/2026-07-29/core-battle-ui-chroma-v01/,art/ai_generated/imagegen/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,1,1,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
20,4,art/ai_generated/imagegen/2026-07-29/core-battle-ui-hd-redraw-v01/,art/ai_generated/imagegen/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,1,1,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
21,3,art/ai_generated/imagegen/2026-08-08/,art/ai_generated/imagegen/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,9,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
22,4,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/,art/ai_generated/imagegen/2026-08-08/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,10,9,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
23,5,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/references/,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,1,1,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
24,3,art/ai_generated/imagegen/2026-08-09/,art/ai_generated/imagegen/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
25,4,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/,art/ai_generated/imagegen/2026-08-09/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
26,5,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/references/,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,1,1,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
27,3,art/ai_generated/imagegen/2026-08-13/,art/ai_generated/imagegen/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,5,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
28,4,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/,art/ai_generated/imagegen/2026-08-13/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,5,5,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
29,5,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/references/,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
30,2,art/ai_generated/production_prompts/,art/ai_generated/,AI 原始产物 / AI Original,空目录或仅含非总账文件 / Empty or non-catalog files only,3,0,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
31,2,art/ai_generated/slices/,art/ai_generated/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,55,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
32,3,art/ai_generated/slices/2026-07-29/,art/ai_generated/slices/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,55,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
33,4,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/,art/ai_generated/slices/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,11,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
34,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,6,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
35,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,4,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
36,4,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/,art/ai_generated/slices/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,14,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
37,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,7,7,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
38,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,6,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
39,4,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v03/,art/ai_generated/slices/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,1,12,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
40,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v03/bottom/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v03/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,6,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
41,5,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v03/top/,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v03/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,6,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
42,4,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/,art/ai_generated/slices/2026-07-29/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,18,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
43,5,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/bottom/,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,4,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
44,5,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/core/,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,2,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
45,5,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/runtime_bases/,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,8,8,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
46,5,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/top/,art/ai_generated/slices/2026-07-29/core-battle-ui-hd-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,4,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
47,2,art/ai_generated/ui/,art/ai_generated/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,49,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
48,3,art/ai_generated/ui/2026-07-30/,art/ai_generated/ui/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,43,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
49,4,art/ai_generated/ui/2026-07-30/battle-board-base-hd-v01/,art/ai_generated/ui/2026-07-30/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,7,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
50,4,art/ai_generated/ui/2026-07-30/battle-bottom-hud-hd-v01/,art/ai_generated/ui/2026-07-30/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,16,16,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
51,4,art/ai_generated/ui/2026-07-30/battle-bottom-hud-hd-v02/,art/ai_generated/ui/2026-07-30/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,13,12,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
52,4,art/ai_generated/ui/2026-07-30/battle-top-hud-hd-v01/,art/ai_generated/ui/2026-07-30/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,7,7,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
53,4,art/ai_generated/ui/2026-07-30/item-choice-modal-v01/,art/ai_generated/ui/2026-07-30/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,3,2,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
54,3,art/ai_generated/ui/2026-08-05/,art/ai_generated/ui/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,0,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
55,4,art/ai_generated/ui/2026-08-05/item-choice-modal-hd-v01/,art/ai_generated/ui/2026-08-05/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,5,6,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
56,5,art/ai_generated/ui/2026-08-05/item-choice-modal-hd-v01/20260805_item_choice_modal_hires_v01/,art/ai_generated/ui/2026-08-05/item-choice-modal-hd-v01/,AI 原始产物 / AI Original,生产/历史资源 / Production or historical,4,3,0,—,—,"否；保留来源，复制到 production 后再加工 / No; preserve origin, copy into production to edit",不直接打包 / Never pack directly
57,1,art/production/,art/,历史来源 / Historical Source,生产/历史资源 / Production or historical,8,625,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
58,2,art/production/characters/,art/production/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,78,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
59,3,art/production/characters/runtime_atlas_sources/,art/production/characters/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,78,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
60,4,art/production/characters/runtime_atlas_sources/2026-08-20/,art/production/characters/runtime_atlas_sources/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,78,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
61,5,art/production/characters/runtime_atlas_sources/2026-08-20/die/,art/production/characters/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,19,19,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
62,5,art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/,art/production/characters/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,26,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
63,6,art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/hit/,art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,8,8,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
64,6,art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/,art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,18,18,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
65,5,art/production/characters/runtime_atlas_sources/2026-08-20/xingzou_boos/,art/production/characters/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,33,33,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
66,2,art/production/fx/,art/production/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,36,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
67,3,art/production/fx/crystal_tower/,art/production/fx/,生产可编辑源 / Editable Production Source,空目录或仅含非总账文件 / Empty or non-catalog files only,2,0,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
68,4,art/production/fx/crystal_tower/raw_imagegen/,art/production/fx/crystal_tower/,生产可编辑源 / Editable Production Source,空目录或仅含非总账文件 / Empty or non-catalog files only,2,0,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
69,3,art/production/fx/runtime_atlas_sources/,art/production/fx/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,36,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
70,4,art/production/fx/runtime_atlas_sources/2026-08-20/,art/production/fx/runtime_atlas_sources/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,36,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
71,5,art/production/fx/runtime_atlas_sources/2026-08-20/lightning_beam/,art/production/fx/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
72,5,art/production/fx/runtime_atlas_sources/2026-08-20/merge/,art/production/fx/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,13,13,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
73,5,art/production/fx/runtime_atlas_sources/2026-08-20/portal/,art/production/fx/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,20,20,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
74,2,art/production/lobby/,art/production/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,74,0,assets/runtime/ui/interfaces/main_hub/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
75,3,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,art/production/lobby/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,51,0,assets/runtime/ui/interfaces/main_hub/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
76,4,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/chroma/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,6,6,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
77,4,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/cutouts/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,29,0,assets/runtime/ui/interfaces/main_hub/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
78,5,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/cutouts/frames/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,10,0,assets/runtime/ui/interfaces/main_hub/backplates,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
79,5,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/cutouts/icons/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,15,15,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
80,4,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/previews/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
81,4,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/qa/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,10,13,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
82,5,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/qa/rejected/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/qa/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
83,4,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/source/,art/production/lobby/2026-08-08_lobby_hd_reset_and_cutout_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
