审核行号 / Review Row ID,原总账行号 / Catalog Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,运行路径 / Runtime Path,当前版本 / Runtime Version,生产与QA证据路径 / Production and QA Evidence,透明底检查 / White Gray Black QA,Godot截图 / Godot Screenshot,设备审核 / Device Review,最终视觉审核 / Final Visual Review,审核责任 / Review Owner,当前备注 / Current Notes
1,1099,界面战斗暂停外框v03,Ui Battle Pause Shell v03,暂停界面,Battle Pause UI,assets/runtime/ui/interfaces/battle_pause/backplates/ui_battle_pause_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_battle_pause_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
2,1124,权益按钮已享有v01,Benefits Button Entitled v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/backplates/benefits_button_entitled_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/benefits_button_entitled_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
3,1125,权益按钮购买v01,Benefits Button Purchase v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/backplates/benefits_button_purchase_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/benefits_button_purchase_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
4,1126,权益商品卡牌v01,Benefits Offer Card v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/backplates/benefits_offer_card_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/benefits_offer_card_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
5,1127,权益popup外框固定v01,Benefits Popup Shell Fixed v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/backplates/benefits_popup_shell_fixed_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/benefits_popup_shell_fixed_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
6,1128,权益标题飘带v01,Benefits Title Ribbon v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/backplates/benefits_title_ribbon_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates/benefits_title_ribbon_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
7,1129,权益图标金币堆v01,Benefits Icon Coin Stack v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/icons/benefits_icon_coin_stack_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/benefits_icon_coin_stack_v01.png | art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/icons/purchase_icon_double_coin_base_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
8,1130,权益图标无广告basev01,Benefits Icon No Ad Base v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/icons/benefits_icon_no_ad_base_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/benefits_icon_no_ad_base_v01.png | art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/icons/purchase_icon_no_ad_base_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
9,1131,权益图标护盾星阶v01,Benefits Icon Shield Star v01,权益弹窗,Benefits Popup UI,assets/runtime/ui/interfaces/benefits/icons/benefits_icon_shield_star_v01.png,v01,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/benefits_icon_shield_star_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,"待完成：in_game_composition, device_review。 / Pending review remains."
10,1140,每日按钮领取v01,Daily Button Claim v01,日常任务与签到,Daily Program UI,assets/runtime/ui/interfaces/daily_program/backplates/daily_button_claim_v01.png,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_button_claim_v01.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：最终视觉与设备审核（Manifest QA 元数据不完整）。 / Pending review remains.
