行号 / Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,资源类型中文 / Type CN,资源类型英文 / Type EN,主状态中文 / Status CN,主状态英文 / Status EN,审核状态中文 / Review Status CN,审核状态英文 / Review Status EN,当前相对路径 / Current Relative Path,当前绝对路径 / Current Absolute Path,是否被引用 / Referenced,引用数量 / Reference Count,主要引用位置 / Primary References,当前运行版本 / Runtime Version,原始来源路径 / Original Source Path,生产来源路径 / Production Source Path,替代前资源 / Replaced Asset,替代后资源 / Replacement Asset,来源判定方法 / Provenance Method,来源可信度 / Provenance Confidence,文件格式 / Extension,像素尺寸 / Dimensions,文件大小 / Size Bytes,Alpha 状态 / Alpha,是否含烘焙文字 / Text Baked,SHA-256,Git 状态 / Git State,最后修改时间 / Last Modified,备注与行动 / Notes and Action
1,爆炸影响特效合集 参考还原 3秒循环,Naming Pending (爆炸影响特效合集 参考还原 3秒循环),历史特效来源,Legacy FX Sources,视频,Video,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_参考还原_3秒循环.mp4,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\爆炸影响特效合集_参考还原_3秒循环.mp4,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_参考还原_3秒循环.mp4,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.mp4,,1907186,不适用 / N/A,未知 / Unknown,49e5a4aaad5c8d5a409b8f480577246fb02b456b9f3350223cd66a1e29fe171e,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.159Z,
2,爆炸影响特效合集 关键帧检查,Naming Pending (爆炸影响特效合集 关键帧检查),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_关键帧检查.jpg,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\爆炸影响特效合集_关键帧检查.jpg,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_关键帧检查.jpg,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.jpg,2452×1756,346535,无 Alpha / Opaque,未知 / Unknown,d4da8c25b0a9387bd98137a455c428b3d8a0cd00f35466bff7ce58b12152b987,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.150Z,
3,爆炸影响特效合集 透明循环,Naming Pending (爆炸影响特效合集 透明循环),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_透明循环.webp,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\爆炸影响特效合集_透明循环.webp,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_透明循环.webp,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.webp,1226×1756,283778,有 Alpha / Alpha,未知 / Unknown,c694e81cdb18edfca2210ec826c10ba5212c28a3662f1f0d7e48b7cda36e58a5,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.163Z,
4,爆炸影响特效合集 预览,Naming Pending (爆炸影响特效合集 预览),历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_预览.gif,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\爆炸影响特效合集_预览.gif,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_预览.gif,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.gif,613×878,367477,有 Alpha / Alpha,未知 / Unknown,281471a0d8f6c50da52feee500ef66c8dd3c28a5fc96f0cb9bf5c675b77e782d,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.169Z,
5,框00,Frame 00,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_00.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_00.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_00.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,13008,有 Alpha / Alpha,未知 / Unknown,a95a3655fc7453fa5c380d2001fc65ebd4bfc995769e5777f83f74032dd7fc0b,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.101Z,
6,框01,Frame 01,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_01.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_01.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,62597,有 Alpha / Alpha,未知 / Unknown,ad1092bece8a6c3863c7353b1238941567b0f687051df52e11e662bd36d945ac,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.103Z,
7,框02,Frame 02,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_02.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_02.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_02.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,94990,有 Alpha / Alpha,未知 / Unknown,f8dbeb858591ba518ad888ea84a3d2254da373e2f2f10a7f6a5bbe637c23ae06,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.106Z,
8,框03,Frame 03,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_03.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_03.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_03.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,117443,有 Alpha / Alpha,未知 / Unknown,2c01b0da71cde79558b8175b328a4d31bab15fa42da6319cde08e9592d2e4e32,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.108Z,
9,框04,Frame 04,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_04.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_04.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_04.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,123789,有 Alpha / Alpha,未知 / Unknown,7c06c04a5450564e4541cd2790e03e9927646aeca60bd202f09511f81e70019e,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.111Z,
10,框05,Frame 05,历史特效来源,Legacy FX Sources,位图,Raster Image,历史原始资源,Legacy Source,历史来源留档,Legacy Source Archived,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_05.png,F:\卖肉\godotT10\game_mergenTo10_published\art_source\fx_references\爆炸影响_参考还原_v01\frames_rgba\frame_05.png,否 / No,0,,v01,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_05.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1226×1756,123001,有 Alpha / Alpha,未知 / Unknown,a7f169f8e50971a6fa5962e56983b5ff1bb8ca1ab65fd8157bbaad3250e74ed2,已跟踪且干净 / Tracked Clean,2026-07-27T02:27:45.113Z,
